UniProt Accession Number,Reagent Type,Target Name / Protein Biomarker,Target Species,Host Organism,Isotype,Clonality,Vendor,Catalog Number,Conjugate,RRID,Availability,Method,Tissue Preservation,Target Tissue,Tissue State,Detergent,Antigen Retrieval Conditions,Dye Inactivation Conditions,Recommend,Agree,Disagree,Contributor,Image Files,Captions,MD5,Publications,Notes
P10415,Primary Antibody,BCL2,Human,Rabbit,IgG,SP66,Abcam,ab236221,Unconjugated,NA,Stock,Cell DIVE-IBEX,FFPE,Lymph Node,Follicular Lymphoma,0.3% Triton-X-100,pH 6 for 30 minutes ER1 (AR9961) and pH 9 for 30 minutes ER2 (AR9640) using the Leica Bond,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,BCL2_Unconjugated/Human_normal_LN_BCL2_ab236221_CD3_ab208514_CD4_ab196372_CD21_ab306325.jpg,"Human normal LN: BCL2 (cyan, catalog number ab236221 and A-31573), CD3 (magenta, catalog number ab208514), CD4 (blue, catalog number ab196372), CD21 (yellow, catalog number ab306325)",,pub1;pub2,Pay attention to this and pay attention to that.
P10415,Primary Antibody,BCL2,Human,Rabbit,IgG,SP66,Abcam,ab236221,Unconjugated,NA,Stock,Cell DIVE-IBEX,FFPE,Lymph Node,NA,0.3% Triton-X-100,pH 6 for 30 minutes ER1 (AR9961) and pH 9 for 30 minutes ER2 (AR9640) using the Leica Bond,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,BCL2_Unconjugated/Human_FL_LN_BCL2_ab236221_CD3_ab208514_CD4_ab196372_CD21_ab306325.jpg,"Human FL LN: BCL2 (cyan, catalog number ab236221 and A-31573), CD3 (magenta, catalog number ab208514), CD4 (blue, catalog number ab196372), CD21 (yellow, catalog number ab306325)",,pub1;pub2,Pay attention to this and pay attention to that.
P07766,Primary Antibody,CD3,Human,Rabbit,IgG,EP4426,Abcam,ab208514,AF555,AB_443425,Stock,Cell DIVE-IBEX,FFPE,Lymph Node,Follicular Lymphoma,0.3% Triton-X-100,pH 6 for 30 minutes ER1 (AR9961) and pH 9 for 30 minutes ER2 (AR9640) using the Leica Bond,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,BCL2_Unconjugated/Human_normal_LN_BCL2_ab236221_CD3_ab208514_CD4_ab196372_CD21_ab306325.jpg,"Human normal LN: BCL2 (cyan, catalog number ab236221 and A-31573), CD3 (magenta, catalog number ab208514), CD4 (blue, catalog number ab196372), CD21 (yellow, catalog number ab306325)",,pub1;pub2,
P07766,Primary Antibody,CD3,Human,Rabbit,IgG,EP4426,Abcam,ab208514,AF555,AB_443425,Stock,Cell DIVE-IBEX,FFPE,Lymph Node,NA,0.3% Triton-X-100,pH 6 for 30 minutes ER1 (AR9961) and pH 9 for 30 minutes ER2 (AR9640) using the Leica Bond,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,BCL2_Unconjugated/Human_FL_LN_BCL2_ab236221_CD3_ab208514_CD4_ab196372_CD21_ab306325.jpg,"Human FL LN: BCL2 (cyan, catalog number ab236221 and A-31573), CD3 (magenta, catalog number ab208514), CD4 (blue, catalog number ab196372), CD21 (yellow, catalog number ab306325)",,pub1;pub2,
P01730,Primary Antibody,CD4,Human,Rabbit,IgG,EPR6855,Abcam,ab196372,AF488,AB_2889191,Stock,Cell DIVE-IBEX,FFPE,Lymph Node,Follicular Lymphoma,0.3% Triton-X-100,pH 6 for 30 minutes ER1 (AR9961) and pH 9 for 30 minutes ER2 (AR9640) using the Leica Bond,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,BCL2_Unconjugated/Human_normal_LN_BCL2_ab236221_CD3_ab208514_CD4_ab196372_CD21_ab306325.jpg,"Human normal LN: BCL2 (cyan, catalog number ab236221 and A-31573), CD3 (magenta, catalog number ab208514), CD4 (blue, catalog number ab196372), CD21 (yellow, catalog number ab306325)",,pub1;pub2,
P01730,Primary Antibody,CD4,Human,Rabbit,IgG,EPR6855,Abcam,ab196372,AF488,AB_2889191,Stock,Cell DIVE-IBEX,FFPE,Lymph Node,NA,0.3% Triton-X-100,pH 6 for 30 minutes ER1 (AR9961) and pH 9 for 30 minutes ER2 (AR9640) using the Leica Bond,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,BCL2_Unconjugated/Human_FL_LN_BCL2_ab236221_CD3_ab208514_CD4_ab196372_CD21_ab306325.jpg,"Human FL LN: BCL2 (cyan, catalog number ab236221 and A-31573), CD3 (magenta, catalog number ab208514), CD4 (blue, catalog number ab196372), CD21 (yellow, catalog number ab306325)",,pub1;pub2,
P20023,Primary Antibody,CD21,Human,Rabbit,IgG,SP186,Abcam,ab306325,PE,NA,Stock,Cell DIVE-IBEX,FFPE,Lymph Node,NA,0.3% Triton-X-100,pH 6 for 30 minutes ER1 (AR9961) and pH 9 for 30 minutes ER2 (AR9640) using the Leica Bond,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,BCL2_Unconjugated/Human_normal_LN_BCL2_ab236221_CD3_ab208514_CD4_ab196372_CD21_ab306325.jpg,"Human normal LN: BCL2 (cyan, catalog number ab236221 and A-31573), CD3 (magenta, catalog number ab208514), CD4 (blue, catalog number ab196372), CD21 (yellow, catalog number ab306325)",,pub1;pub2,Note about CD21.
